OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,FUNDE_N,DATIERUNG,DATIERUNG_N,"k-means(BEZ_N, FUNDE_N)","dbscan(BEZ_N, FUNDE_N)","agnes(BEZ_N, FUNDE_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N)","k-means(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDE_N, DATIERUNG_N, FUNDKATEGORIE_N)"
4546949,POINT (16.271566067232047 48.14828200812114),23,1.0,Maurer Lange Gasse,34,36,1,0.0,457,0.6212534059945504,27,0.8125,1,0,1,2,0,2,1,0,1
4546950,POINT (16.294337568086352 48.15457906557718),23,1.0,Tullnertalgasse,,,1,0.0,319,0.433242506811989,32,0.96875,1,1,1,2,0,2,1,0,1
4546951,POINT (16.336164497665074 48.18965608190796),15,0.6363636363636365,Sechshauser Straße,10,12,1,0.0,457,0.6212534059945504,27,0.8125,1,-1,0,2,0,0,1,0,0
4546952,POINT (16.368380810537612 48.209195699467095),1,0.0,Kohlmarkt,1,,2,0.25,319,0.433242506811989,11,0.3125,2,2,0,0,1,0,0,0,0
4546952,POINT (16.368380810537612 48.209195699467095),1,0.0,Kohlmarkt,1,,2,0.25,120,0.162125340599455,11,0.3125,2,3,0,0,1,0,0,0,0
4546953,POINT (16.286713271648992 48.206562411907534),14,0.5909090909090909,Spiegelgrundstraße,,,1,0.0,457,0.6212534059945504,27,0.8125,1,4,0,2,0,0,1,0,0
4546954,POINT (16.331921777870146 48.21817157525246),17,0.7272727272727273,Elterleinplatz,,,2,0.25,715,0.9727520435967304,27,0.8125,1,5,1,2,0,2,1,0,1
4546955,POINT (16.302385555049 48.247193120699286),18,0.7727272727272728,Pötzleinsdorfer Höhe,,,2,0.25,422,0.5735694822888283,21,0.625,1,6,1,2,0,2,1,0,1
4546956,POINT (16.34790833238284 48.26631478784286),19,0.8181818181818182,Nußberg,,,1,0.0,457,0.6212534059945504,21,0.625,1,7,1,2,0,2,1,0,1
4546957,POINT (16.357230516699023 48.27038779958785),19,0.8181818181818182,Burgstall,,,1,0.0,319,0.433242506811989,32,0.96875,1,8,1,2,0,2,1,0,1
4546957,POINT (16.357230516699023 48.27038779958785),19,0.8181818181818182,Burgstall,,,1,0.0,295,0.4005449591280653,32,0.96875,1,-1,1,2,0,2,1,0,1
4546958,POINT (16.355294980579842 48.24825279316186),19,0.8181818181818182,Hohe Warte,,,1,0.0,457,0.6212534059945504,27,0.8125,1,7,1,2,0,2,1,0,1
4546959,POINT (16.363072208329804 48.251843432464945),19,0.8181818181818182,Nußdorf,,,3,0.5,223,0.3024523160762942,33,1.0,1,9,1,2,0,2,1,0,1
4546959,POINT (16.363072208329804 48.251843432464945),19,0.8181818181818182,Nußdorf,,,3,0.5,428,0.5817438692098093,33,1.0,1,10,1,2,0,2,1,0,1
4546959,POINT (16.363072208329804 48.251843432464945),19,0.8181818181818182,Nußdorf,,,3,0.5,109,0.1471389645776566,33,1.0,1,-1,1,2,-1,2,1,0,1
