OBJECTID,SHAPE,BEZ,BEZ_N,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDKATEGORIE_N,FUNDE,DATIERUNG,DATIERUNG_N,k-means_PC1,k-means_PC2,k-means_UMAP1,k-means_UMAP2,k-means(FUNDE),dbscan_PC1,dbscan_PC2,dbscan_UMAP1,dbscan_UMAP2,dbscan(FUNDE),agnes_PC1,agnes_PC2,agnes_UMAP1,agnes_UMAP2,agnes(FUNDE),"k-means(BEZ_N, FUNDKATEGORIE_N)","dbscan(BEZ_N, FUNDKATEGORIE_N)","agnes(BEZ_N, FUNDKATEGORIE_N)","k-means(BEZ_N, DATIERUNG_N)","dbscan(BEZ_N, DATIERUNG_N)","agnes(BEZ_N, DATIERUNG_N)"
4546949,POINT (16.271566067232047 48.14828200812114),23,1.0,Maurer Lange Gasse,34,36,1,0.0,münze,27,0.8125,-0.1698483615030057,0.8101404882416985,5.909513,-11.111888,3,-0.1698483620259671,0.8101404937609376,5.2331114,-23.041798,0,-0.1698483669076031,0.8101404932012753,7.560691,-25.36225,1,1,0,2,0,0,2
4546950,POINT (16.294337568086352 48.15457906557718),23,1.0,Tullnertalgasse,,,1,0.0,keramik,32,0.96875,-0.566748697487648,-0.5417155426624174,6.43621,25.515396,1,-0.5667487016112106,-0.5417155761417576,10.252012,31.306726,1,-0.5667486783678718,-0.5417155870750356,11.12956,26.837004,3,1,0,2,0,0,2
4546951,POINT (16.336164497665074 48.18965608190796),15,0.6363636363636365,Sechshauser Straße,10,12,1,0.0,münze,27,0.8125,-0.1698483615030048,0.8101404882416962,5.932652,-10.835281,3,-0.1698483620259632,0.8101404937609358,5.5375094,-22.94158,0,-0.1698483669076053,0.8101404932012765,7.8910594,-25.700708,1,1,0,2,0,0,1
4546952,POINT (16.368380810537612 48.209195699467095),1,0.0,Kohlmarkt,1,,2,0.25,keramik brunnen,11,0.3125,-0.2104581059307361,-0.1961614058723653,9.768448,-1.3045236,0,-0.2104579646145123,-0.1961619773983857,-2.5990891,0.8623607,0,-0.2104576170780306,-0.1961620894904086,-5.3481464,2.7156467,0,0,1,1,1,1,0
4546953,POINT (16.286713271648992 48.206562411907534),14,0.5909090909090909,Spiegelgrundstraße,,,1,0.0,münze,27,0.8125,-0.1698483615030048,0.8101404882416963,6.0579634,-10.8390665,3,-0.1698483620259631,0.8101404937609358,5.2380214,-23.106926,0,-0.1698483669076052,0.8101404932012762,7.992845,-25.170696,1,1,0,1,0,0,1
4546954,POINT (16.331921777870146 48.21817157525246),17,0.7272727272727273,Elterleinplatz,,,2,0.25,ziegel,27,0.8125,0.0510744518806828,0.0572766024772545,29.172155,5.217062,0,0.0510742890380242,0.0572767640736584,28.009035,0.33515918,0,0.0510744465947379,0.0572765884700406,24.572971,14.628664,0,1,1,2,0,0,2
4546955,POINT (16.302385555049 48.247193120699286),18,0.7727272727272728,Pötzleinsdorfer Höhe,,,2,0.25,mauerwerk,21,0.625,0.8011318815615338,-0.2084214997512493,-11.204205,21.17771,2,0.8011318718911935,-0.2084214774364369,-21.503971,16.189915,0,0.8011318575200804,-0.2084214833961833,-3.8701668,22.674257,2,1,1,2,0,0,2
4546956,POINT (16.34790833238284 48.26631478784286),19,0.8181818181818182,Nußberg,,,1,0.0,münze,21,0.625,-0.1698483615030048,0.8101404882416963,5.912101,-10.519108,3,-0.1698483620259631,0.8101404937609358,5.2199054,-23.30604,0,-0.1698483669076052,0.8101404932012762,8.162829,-25.373642,1,1,0,2,0,0,2
4546957,POINT (16.357230516699023 48.27038779958785),19,0.8181818181818182,Burgstall,,,1,0.0,keramik hüttenlehm,32,0.96875,-0.1908722660756144,-0.140098813036146,-30.874382,5.839383,0,-0.1908722993856927,-0.1400987668699698,-9.742223,33.04394,-1,-0.1908722806193242,-0.1400988180244525,44.45474,3.0551133,0,1,0,2,0,0,2
4546958,POINT (16.355294980579842 48.24825279316186),19,0.8181818181818182,Hohe Warte,,,1,0.0,münze,27,0.8125,-0.1698483615030048,0.8101404882416963,5.542151,-10.50005,3,-0.1698483620259631,0.8101404937609358,5.14414,-23.521593,0,-0.1698483669076052,0.8101404932012762,8.130454,-25.351652,1,1,0,2,0,0,2
