FID,OBJECTID,SHAPE,BEZ,STRNAM,HNR,HNR_BIS,FUNDKATEGORIE,FUNDE,DATIERUNG,SE_ANNO_CAD_DATA
FUNDPUNKTEOGD.4546949,4546949,POINT (16.271566067232047 48.14828200812114),23,Maurer Lange Gasse,34,36,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4546950,4546950,POINT (16.294337568086352 48.15457906557718),23,Tullnertalgasse,,,"Einzel-, Streufund",Keramik,Urgeschichte,
FUNDPUNKTEOGD.4546951,4546951,POINT (16.336164497665074 48.18965608190796),15,Sechshauser Straße,10,12,"Einzel-, Streufund",Münze,Römerzeit,
FUNDPUNKTEOGD.4546952,4546952,POINT (16.368380810537612 48.209195699467095),1,Kohlmarkt,1,,Siedlungsbefund,"Keramik, Brunnen",Mittelalter/Neuzeit,
FUNDPUNKTEOGD.4546953,4546953,POINT (16.286713271648992 48.206562411907534),14,Spiegelgrundstraße,,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4546954,4546954,POINT (16.331921777870146 48.21817157525246),17,Elterleinplatz,,,Siedlungsbefund,Ziegel,Römerzeit,
FUNDPUNKTEOGD.4546955,4546955,POINT (16.302385555049 48.247193120699286),18,Pötzleinsdorfer Höhe,,,Siedlungsbefund,Mauerwerk,Neuzeit,
FUNDPUNKTEOGD.4546956,4546956,POINT (16.34790833238284 48.26631478784286),19,Nußberg,,,"Einzel-, Streufund",Münze,Neuzeit,
FUNDPUNKTEOGD.4546957,4546957,POINT (16.357230516699023 48.27038779958785),19,Burgstall,,,"Einzel-, Streufund","Keramik, Hüttenlehm",Urgeschichte,
FUNDPUNKTEOGD.4546958,4546958,POINT (16.355294980579842 48.24825279316186),19,Hohe Warte,,,"Einzel-, Streufund",Münzen,Römerzeit,
FUNDPUNKTEOGD.4546959,4546959,POINT (16.363072208329804 48.251843432464945),19,Nußdorf,,,Grabbefund,"Grab, Menschenskelett, Bronzeringe",unbekannt,
FUNDPUNKTEOGD.4546960,4546960,POINT (16.347580823132585 48.27767566725898),19,Leopoldsberg,,,"Einzel-, Streufund",Tierkopfidol,Urgeschichte,
FUNDPUNKTEOGD.4546961,4546961,POINT (16.34605179478264 48.27766612378345),19,Leopoldsberg,,,"Einzel-, Streufund",Artefakte,unbekannt,
FUNDPUNKTEOGD.4546962,4546962,POINT (16.34556917174854 48.27800335210538),19,Leopoldsberg,,,"Einzel-, Streufund",Keramik,unbekannt,
